techno;NG;Fuel;Electric (Renewable);Electric (European Grid);-- Select --
CO2;0.07;0.1;0.006;0.12;
EQ;0.00E+00;0.00E+00;0.00E+00;0.00E+00;
NRJ;0.00E+00;0.00E+00;0.00E+00;0.00E+00;
HH;0.00E+00;0.00E+00;0.00E+00;0.00E+00;
Water;0.00E+00;0.00E+00;0.00E+00;0.00E+00;
TEQ;0.00E+00;0.00E+00;0.00E+00;0.00E+00;
THH;0.00E+00;0.00E+00;0.00E+00;0.00E+00;
