Family;SOEL;AEL;PEMEL;AEMEL;SOEL;AEL;PEMEL;AEMEL;SOEL;AEL;PEMEL;AEMEL;-- Select --
TRL;Operational (TRL>7);Operational (TRL>7);Operational (TRL>7);Operational (TRL>7);State-of-the-Art (TRL<7);State-of-the-Art (TRL<7);State-of-the-Art (TRL<7);State-of-the-Art (TRL<7);Target 2050;Target 2050;Target 2050;Target 2050;
Separator [m3];0.16;0.26;0.14;0.13;0.16;0.26;0.14;0.13;0.16;0.26;0.14;0.13;
Pump [kW];1;1;1;1;1;1;1;1;1;1;1;1;
Piping [kg];110;110;110;110;110;110;110;110;110;110;110;110;
Instrumentation [kW];1;1;1;1;1;1;1;1;1;1;1;1;
tank [unit];0;0;0;0;0;0;0;0;0;0;0;0;
container [m3];1.155;7.847;3.696;3.432;1.155;7.847;3.696;3.432;1.155;7.847;3.696;3.432;
U [V];1.315252525;2.3;2.25;2.22;1.2875;1.78;1.81;1.8;1.28;1.7;1.65;1.7;
J_dens [A/m2];3400;2500;12220;2500;8685;6900;22900;14400;20000;20000;40000;17500;
fuel utilization [-];1;1;1;1;1;1;1;1;1;1;1;1;
heat demand [kWh/kgH2];10;0;0;0;8.375;0;0;0;7;0;0;0;
water demand [L/kgH2];12.5;300;13;13;12.5;300;13;13;12.5;300;13;13;
KOH [kg/kgH2];0;0.002;0;0;0;0.002;0;0;0;0.001;0;0;
heat produced [kWh/kgH2];0;0;0;0;0;0;0;0;0;0;0;0;
h2 Leakage [-];0.0123;0.0123;0.0123;0.0123;0.0025;0.0025;0.0025;0.0025;0.0015;0.0015;0.0015;0.0015;
Pressure_out [bar];1;1;1;1;1;1;1;1;1;1;1;1;
Temp_out [K];1100;400;400;400;1100;400;400;400;1100;400;400;400;
purity_out [%];99.9;99.8;99.999;99.99;99.9;99.8;99.999;99.99;99.99;99.8;99.999;99.99;
