Family;SOFC;PEMFC;AEMFC;AFC;PEMFC_auto;SOFC;PEMFC;AEMFC;AFC;PEMFC_auto;SOFC;PEMFC;AEMFC;AFC;PEMFC_auto;-- Select --
Baseline;Present;Present;Present;Present;Present;State-of-the-Art;State-of-the-Art;State-of-the-Art;State-of-the-Art;State-of-the-Art;Target 2050;Target 2050;Target 2050;Target 2050;Target 2050;
Sealant_mat;glass mat;glass mat;glass mat;glass mat;glass mat;glass mat;glass mat;glass mat;glass mat;glass mat;glass mat;glass mat;glass mat;glass mat;glass mat;
thickness_ep [um];50000;100000;53000;10000;10000;12000;50000;25000;5000;5000;12000;12000;10000;2000;1000;
ratioS_ep;1.7;1.7;2.5;1;1.1;3.5;1.3;1.5;1;1.1;2.6;1.1;1;1;1.1;
material_ep;Stainless Steel;Aluminium;Aluminium;Stainless Steel;Aluminium;Stainless Steel;Aluminium;Aluminium;Stainless Steel;Aluminium;Stainless Steel;Aluminium;Aluminium;Stainless Steel;Aluminium;
endplate_coating;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
lifetime_bop;50000;50000;50000;50000;50000;80000;80000;80000;80000;80000;100000;100000;100000;100000;100000;
Compressor [kW];0.8;1.5;1.5;1.5;1.5;0.8;1.5;1.5;1.5;1.5;0.8;1.5;1.5;1.5;1.5;
HEX [m2];30;10;10;15;0;30;10;10;15;0;30;10;10;15;0;
Chiller [kW];1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;
Rectifier [kWstack];20;17;17;20;43;20;17;17;20;43;20;17;17;20;43;
Separator [m3];0.16;0.14;0.13;0.09;0;0.16;0.14;0.13;0.09;0;0.16;0.14;0.13;0.09;0;
Pump [kW];1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Piping [unit];110;110;110;110;3;110;110;110;110;3;110;110;110;110;3;
Instrumentation [kW];1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
tank [unit];0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
container [m3];1.155;3.696;3.432;7.847;0;1.155;3.696;3.432;7.847;0;1.155;3.696;3.432;7.847;0;
U [V];0.65;0.645;0.63;0.64;0.7;0.78;0.75;0.65;0.81;0.72;0.815;0.847;0.76;0.85;0.78;
J_dens [A/m2];3500;6200;7590;1625;9200;7700;9000;10850;12300;13000;10000;22000;13000;40000;13000;
fuel utilization [-];0.9;0.9;0.9;0.9;0.9;0.95;0.95;0.95;0.9;0.95;0.98;0.98;0.98;0.98;0.98;
heat demand [kWh/kgH2];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
water demand [L/kgH2];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
KOH [kg/kgH2];0;0;0;0.002;0;0;0;0;0.002;0;0;0;0;0.001;0;
heat produced [kWh/kgH2];15;17;17;13;0;11;12;12;10;0;12.5;12;12;8;0;
H2 Leakage [-];0.0231;0.0231;0.0231;0.0231;0.0231;0.0155;0.0155;0.0155;0.0155;0.0155;0.0085;0.0085;0.0085;0.0085;0.0085;
Pressure_out [bar];1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Temp_out [K];1100;400;400;400;400;1100;400;400;400;400;1100;400;400;400;400;
purity_out [%];99.9;99.999;99.99;99.8;99.999;99.9;99.999;99.99;99.8;99.999;99.9;99.999;99.99;99.8;99.999;
